color,RPM,stroke_frequency,producer_name
179,1352,1435,936
1662,1503,1136,1871
1229,1241,1410,664
447,39,747,1835
1693,492,1553,1512
110,53,792,295
271,503,1080,1194
1316,1331,1837,797
1438,968,351,657
343,456,298,1602
420,1226,1226,69
1026,710,339,966
1266,445,1377,1275
793,921,858,1486
892,322,269,570
73,1778,1318,1419
507,1705,1875,1047
89,673,881,1260
1987,839,638,1849
898,1543,1258,679
1323,12,866,309
954,1982,1135,658
558,100,1272,29
1163,676,543,36
734,624,723,619
275,1458,1415,1422
351,1528,1879,1899
1141,1125,1650,979
1052,86,1609,481
92,1152,402,1781
270,550,1758,861
639,1948,1852,1052
667,1173,1793,1335
1800,1530,861,336
1061,457,1003,662
724,790,1549,1635
831,1061,1691,1240
1252,107,1083,745
1840,96,494,108
1425,1795,406,1897
1042,183,1795,606
1905,1936,543,155
1710,299,1397,821
644,308,990,994
133,90,292,214
737,1590,7,798
1887,1360,1006,188
512,1985,1043,1195
1760,1253,88,1599
1744,440,126,916
1177,79,836,118
768,1526,1942,1589
845,139,1962,33
1947,1847,522,1357
257,1735,1085,1172
522,1414,455,552
25,785,1422,1470
511,932,1281,960
350,524,1778,1735
436,1555,290,1807
1418,647,1450,395
1460,597,1368,802
1343,578,60,727
597,1409,988,1939
1788,228,452,1535
1082,26,1709,1288
796,1038,925,615
830,1453,1198,726
1102,351,136,7
1841,1487,1938,1447
1207,1061,122,973
1468,461,1984,1208
872,668,1204,787
264,1174,325,481
830,443,1716,1320
255,537,463,7
238,1605,593,790
789,1310,1958,590
1652,439,1388,1201
1503,129,149,682
1811,1623,573,210
1405,487,368,347
1029,813,610,938
740,273,1115,1604
631,908,1993,1925
684,697,145,57
819,1535,1569,120
1553,423,587,1274
1181,544,1709,1986
452,1839,968,72
1232,590,750,1296
1794,1741,773,428
432,499,484,1987
926,1610,412,912
1604,717,292,812
1187,1131,930,1345
1854,1982,1999,821
157,1822,1310,1564
1753,135,950,285
718,418,1145,1338
964,1119,638,1059
333,386,1194,1667
1265,1238,298,1973
1497,1482,1656,500
1337,13,1610,1544
547,1381,1197,1747
1644,822,1710,1725
148,1882,99,608
707,238,1683,1796
1277,249,849,538
173,1635,389,1748
1394,1811,1125,1480
1937,1091,1109,703
1334,485,1788,358
526,1153,867,899
1926,268,555,305
1700,1308,1141,1568
261,825,57,1347
65,1434,348,869
1493,661,726,809
1336,959,555,1807
